review_id,review_text,rating,date,bank_name,source
dashen_bank_0,very good .,5,2025-06-10,Dashen Bank,Google Play
dashen_bank_1,this app is good for you guys,5,2025-06-09,Dashen Bank,Google Play
dashen_bank_2,wow,5,2025-06-09,Dashen Bank,Google Play
dashen_bank_3,kalid,5,2025-06-08,Dashen Bank,Google Play
dashen_bank_4,I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07,Dashen Bank,Google Play
dashen_bank_5,love,3,2025-06-06,Dashen Bank,Google Play
dashen_bank_6,መቸሸጠ,5,2025-06-04,Dashen Bank,Google Play
dashen_bank_7,wow,5,2025-06-04,Dashen Bank,Google Play
dashen_bank_8,gadaa,5,2025-06-02,Dashen Bank,Google Play
dashen_bank_9,Massive upgrade from the Amole app.,5,2025-06-01,Dashen Bank,Google Play
dashen_bank_10,good,4,2025-06-01,Dashen Bank,Google Play
dashen_bank_11,very good for this app,5,2025-06-01,Dashen Bank,Google Play
dashen_bank_12,top,5,2025-06-01,Dashen Bank,Google Play
dashen_bank_13,this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen Bank,Google Play
dashen_bank_14,Wow,5,2025-05-30,Dashen Bank,Google Play
dashen_bank_15,good,5,2025-05-30,Dashen Bank,Google Play
dashen_bank_16,wow to it saff and this app,5,2025-05-30,Dashen Bank,Google Play
dashen_bank_17,it too slow,3,2025-05-29,Dashen Bank,Google Play
dashen_bank_18,ዳሽን ባንክ ይለያል,4,2025-05-29,Dashen Bank,Google Play
dashen_bank_19,real life changer,5,2025-05-28,Dashen Bank,Google Play
dashen_bank_20,👍👍👍,5,2025-05-28,Dashen Bank,Google Play
dashen_bank_21,good,5,2025-05-28,Dashen Bank,Google Play
dashen_bank_22,nice application,5,2025-05-27,Dashen Bank,Google Play
dashen_bank_23,good,5,2025-05-27,Dashen Bank,Google Play
dashen_bank_24,wow,5,2025-05-27,Dashen Bank,Google Play
dashen_bank_25,useless app ever loading take long,1,2025-05-27,Dashen Bank,Google Play
dashen_bank_26,"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-27,Dashen Bank,Google Play
dashen_bank_27,very useful App,1,2025-05-26,Dashen Bank,Google Play
dashen_bank_28,"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,Dashen Bank,Google Play
dashen_bank_29,Wawww,5,2025-05-25,Dashen Bank,Google Play
dashen_bank_30,it is good but some times says duplicate transaction why?,5,2025-05-24,Dashen Bank,Google Play
dashen_bank_31,very Nice,5,2025-05-23,Dashen Bank,Google Play
dashen_bank_32,its best,5,2025-05-23,Dashen Bank,Google Play
dashen_bank_33,it is not as good as to the other mobile bank app.,1,2025-05-23,Dashen Bank,Google Play
dashen_bank_34,"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,Dashen Bank,Google Play
dashen_bank_35,wow,5,2025-05-20,Dashen Bank,Google Play
dashen_bank_36,Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,Dashen Bank,Google Play
dashen_bank_37,good,5,2025-05-20,Dashen Bank,Google Play
dashen_bank_38,its best,5,2025-05-19,Dashen Bank,Google Play
dashen_bank_39,The best app ever in finance sector,5,2025-05-19,Dashen Bank,Google Play
dashen_bank_40,Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,Dashen Bank,Google Play
dashen_bank_41,dashen bank or dashen super app?,1,2025-05-18,Dashen Bank,Google Play
dashen_bank_42,wowwwe app,5,2025-05-17,Dashen Bank,Google Play
dashen_bank_43,"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17,Dashen Bank,Google Play
dashen_bank_44,good,5,2025-05-17,Dashen Bank,Google Play
dashen_bank_45,always lagging,1,2025-05-17,Dashen Bank,Google Play
dashen_bank_46,Amazing Application...,5,2025-05-16,Dashen Bank,Google Play
dashen_bank_47,Fantastic,5,2025-05-16,Dashen Bank,Google Play
dashen_bank_48,"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-16,Dashen Bank,Google Play
dashen_bank_49,its my choice,5,2025-05-16,Dashen Bank,Google Play
dashen_bank_50,wow apo,5,2025-05-15,Dashen Bank,Google Play
dashen_bank_51,awesome app keep going,5,2025-05-14,Dashen Bank,Google Play
dashen_bank_52,wow,5,2025-05-14,Dashen Bank,Google Play
dashen_bank_53,👍,5,2025-05-14,Dashen Bank,Google Play
dashen_bank_54,"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14,Dashen Bank,Google Play
dashen_bank_55,Game changer,5,2025-05-14,Dashen Bank,Google Play
dashen_bank_56,Totally amazing,5,2025-05-14,Dashen Bank,Google Play
dashen_bank_57,super 😎,5,2025-05-13,Dashen Bank,Google Play
dashen_bank_58,what a helpful app!!!!,5,2025-05-13,Dashen Bank,Google Play
dashen_bank_59,Good,4,2025-05-13,Dashen Bank,Google Play
dashen_bank_60,nice,5,2025-05-13,Dashen Bank,Google Play
dashen_bank_61,wow,5,2025-05-13,Dashen Bank,Google Play
dashen_bank_62,"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-13,Dashen Bank,Google Play
dashen_bank_63,fast,5,2025-05-12,Dashen Bank,Google Play
dashen_bank_64,"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12,Dashen Bank,Google Play
dashen_bank_65,"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10,Dashen Bank,Google Play
dashen_bank_66,good,5,2025-05-10,Dashen Bank,Google Play
dashen_bank_67,Amazing app super easy to use and best design. loved it.,5,2025-05-10,Dashen Bank,Google Play
dashen_bank_68,its the best ever,5,2025-05-09,Dashen Bank,Google Play
dashen_bank_69,nice,5,2025-05-08,Dashen Bank,Google Play
dashen_bank_70,excellent game changer App,5,2025-05-08,Dashen Bank,Google Play
dashen_bank_71,I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-04,Dashen Bank,Google Play
dashen_bank_72,it seems me logging out within minutes,1,2025-05-03,Dashen Bank,Google Play
dashen_bank_73,nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03,Dashen Bank,Google Play
dashen_bank_74,yes i want dashen super open,5,2025-05-03,Dashen Bank,Google Play
dashen_bank_75,Best App,5,2025-05-02,Dashen Bank,Google Play
dashen_bank_76,faster than this version,5,2025-05-01,Dashen Bank,Google Play
dashen_bank_77,"Best UI mobile banking app, props to design team",5,2025-05-01,Dashen Bank,Google Play
dashen_bank_78,thank you,4,2025-05-01,Dashen Bank,Google Play
dashen_bank_79,great app,5,2025-04-30,Dashen Bank,Google Play
dashen_bank_80,bad.,1,2025-04-30,Dashen Bank,Google Play
dashen_bank_81,Dashen bank always one step ahead,5,2025-04-30,Dashen Bank,Google Play
dashen_bank_82,dashen super app is secure band very easy,5,2025-04-30,Dashen Bank,Google Play
dashen_bank_83,It is very fast and secured mobile banking app! I like this app!,5,2025-04-30,Dashen Bank,Google Play
dashen_bank_84,best app I have ever seen,5,2025-04-29,Dashen Bank,Google Play
dashen_bank_85,best of best,5,2025-04-29,Dashen Bank,Google Play
dashen_bank_86,waw,5,2025-04-28,Dashen Bank,Google Play
dashen_bank_87,best app,5,2025-04-28,Dashen Bank,Google Play
dashen_bank_88,Its slow when i try to see the Recent Transaction and stucked,1,2025-04-28,Dashen Bank,Google Play
dashen_bank_89,wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28,Dashen Bank,Google Play
dashen_bank_90,wow appl,5,2025-04-28,Dashen Bank,Google Play
dashen_bank_91,why do i have to change a pin number i use my finger print so dummy,1,2025-04-27,Dashen Bank,Google Play
dashen_bank_92,very nice,5,2025-04-27,Dashen Bank,Google Play
dashen_bank_93,great,4,2025-04-27,Dashen Bank,Google Play
dashen_bank_94,"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",1,2025-04-25,Dashen Bank,Google Play
dashen_bank_95,"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24,Dashen Bank,Google Play
dashen_bank_96,Very easy and Fast.,5,2025-04-24,Dashen Bank,Google Play
dashen_bank_97,Incomparably user-friendly and fast app for mobile banking.,5,2025-04-24,Dashen Bank,Google Play
dashen_bank_98,"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-24,Dashen Bank,Google Play
dashen_bank_99,execellent,5,2025-04-24,Dashen Bank,Google Play
dashen_bank_100,"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",5,2025-04-24,Dashen Bank,Google Play
dashen_bank_101,All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,5,2025-04-24,Dashen Bank,Google Play
dashen_bank_102,it is incredible product.,5,2025-04-24,Dashen Bank,Google Play
dashen_bank_103,"I'm really impressed with this app! It’s user-friendly, runs smoothly, and has all the features I need. Makes my tasks so much easier and saves me a lot of time. Highly recommended!",5,2025-04-24,Dashen Bank,Google Play
dashen_bank_104,best app,5,2025-04-23,Dashen Bank,Google Play
dashen_bank_105,ok,5,2025-04-23,Dashen Bank,Google Play
dashen_bank_106,"It's an amazing app, experience it!!",5,2025-04-23,Dashen Bank,Google Play
dashen_bank_107,This is the best banking app ever. I recommend everyone to use it.,5,2025-04-23,Dashen Bank,Google Play
dashen_bank_108,It is the best application!!!,5,2025-04-23,Dashen Bank,Google Play
dashen_bank_109,"Exceptional digital experience, SupperApp will bring new paradigm shift in the banking business. Bravo Dashen keep it up!!!!",5,2025-04-23,Dashen Bank,Google Play
dashen_bank_110,its features are so dynamic,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_111,fast &Friendly user Application.,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_112,"Fast, Reliable and User Friendly. Keep it Up",5,2025-04-22,Dashen Bank,Google Play
dashen_bank_113,"#dashen super app is easy to use, secure & fast transaction😍",5,2025-04-22,Dashen Bank,Google Play
dashen_bank_114,i love this app esp 3 click that make e-commerce easier and convinient.,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_115,Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_116,Great for everyday banking and payments on the go,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_117,"""Dashen Super App'' is impressive with its focus on simplicity, speed, and quality. The user interface is clean and easy to understand. Transactions process quickly, and the overall quality of the app is top-notch. A must-have for Dashen Bank customers. ዳሸን ባንክ አንድ እርምጃ ቀዳሚ።",5,2025-04-22,Dashen Bank,Google Play
dashen_bank_118,making transactions has never been easier. the new update is just amazing,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_119,"The app has various usefull functions, which make easy the payment system. Also, it will connect with sellers having reasonable prices.",5,2025-04-22,Dashen Bank,Google Play
dashen_bank_120,The app has great user interface with comprehensive payments and E-commerce platforms. And also it includes unique features such as chat Banking and budget.,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_121,betam mirt Ena betam le atikakem kelel Yale Ena michu application nw,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_122,Convenient!,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_123,It is an amazing application that meets the needs of customers.,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_124,Effecting payment via the app has created convenience to the recipients in easily confirming the payments received!,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_125,the best Supper App ever,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_126,"This is the best app ever, when is it planned to include digital lending and gasification?",5,2025-04-22,Dashen Bank,Google Play
dashen_bank_127,"A powerful, local solution that rivals any global app. I love how easy it is to explore services and products.",5,2025-04-22,Dashen Bank,Google Play
dashen_bank_128,Dashen bank is my number one choice,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_129,Assefa Genetu = Dashen superup is the latest and inclussive .I am happy with this super up.,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_130,"The App is incredibly user-friendly and brings multiple services into one place. It's fast, intuitive, and makes daily tasks super convenient. A true all-in-one solution!",5,2025-04-22,Dashen Bank,Google Play
dashen_bank_131,"Proudly made in Ethiopia, this innovation delivers more than promised. The marketplace is a major boost for local commerce",5,2025-04-22,Dashen Bank,Google Play
dashen_bank_132,it so fanrastic and user friendly app. Bravo Dashen bank thanks.,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_133,"one of the best digital platforms I've used! from smooth transactions to a seamless shopping experience, highly recommended.",5,2025-04-22,Dashen Bank,Google Play
dashen_bank_134,A proudly Ethiopia innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers bnd sellers,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_135,"Dashen Super App is a game-changer! It’s fast, user-friendly, and packed with features that make everyday banking and transactions super convenient. I love how everything I need from mobile banking to utility payments is all in one place. The interface is clean, and everything works smoothly. Definitely one of the best apps out there. Highly recommended!",5,2025-04-22,Dashen Bank,Google Play
dashen_bank_136,Easy to use and has many options. It is the best financial app I have ever used.,5,2025-04-22,Dashen Bank,Google Play
dashen_bank_137,"Highly impressed! Dash Bank really nailed it with this app. Secure, reliable, and packed with features I use daily",5,2025-04-22,Dashen Bank,Google Play
